batter,total_runs,total_balls,outs,strike_rate,average,fours,sixes
CA Ingram,205,183,12,112.02185792349727,17.083333333333332,22,5
CA Lynn,1329,974,39,136.4476386036961,34.07692307692308,132,66
CA Pujara,390,403,18,96.7741935483871,21.666666666666668,50,4
CH Gayle,4997,3516,128,142.1217292377702,39.0390625,408,359
CH Morris,618,413,29,149.636803874092,21.310344827586206,41,35
CJ Anderson,538,436,22,123.39449541284404,24.454545454545453,40,31
CJ Ferguson,98,119,6,82.35294117647058,16.333333333333332,9,0
CJ Jordan,75,68,7,110.29411764705883,10.714285714285714,3,3
CJ McKay,8,15,1,53.333333333333336,8.0,0,0
CK Kapugedera,16,24,3,66.66666666666666,5.333333333333333,0,0
CK Langeveldt,8,9,2,88.88888888888889,4.0,0,1
CL White,971,774,35,125.45219638242895,27.742857142857144,76,38
CM Gautam,169,158,9,106.9620253164557,18.77777777777778,17,6
CR Brathwaite,181,120,14,150.83333333333334,12.928571428571429,10,16
CR Woakes,78,77,5,101.29870129870129,15.6,7,2
CRD Fernando,4,3,1,133.33333333333331,4.0,0,0
CV Varun,24,38,2,63.1578947368421,12.0,2,0
D Brevis,161,116,7,138.79310344827587,23.0,14,11
D Kalyankrishna,3,8,1,37.5,3.0,0,0
D Padikkal,1260,1057,45,119.20529801324504,28.0,136,36
D Pretorius,44,28,4,157.14285714285714,11.0,3,3
D Salunkhe,33,24,1,137.5,33.0,5,0
D Wiese,127,94,5,135.1063829787234,25.4,12,4
D du Preez,10,13,1,76.92307692307693,10.0,0,0
DA Miller,2455,1838,69,133.56909684439609,35.57971014492754,169,113
DA Warner,5883,4313,143,136.40157662879665,41.13986013986014,577,216
DAJ Bracewell,12,9,0,133.33333333333331,12.0,1,0
DB Das,304,267,12,113.85767790262172,25.333333333333332,23,16
DB Ravi Teja,375,325,20,115.38461538461537,18.75,35,9
DE Bollinger,21,23,1,91.30434782608695,21.0,1,1
DH Yagnik,170,142,9,119.71830985915493,18.88888888888889,23,2
DJ Bravo,1560,1247,69,125.10024057738573,22.608695652173914,120,66
DJ Harris,111,103,3,107.76699029126213,37.0,11,5
DJ Hooda,1237,970,58,127.52577319587628,21.32758620689655,77,56
DJ Hussey,1322,1101,49,120.07266121707538,26.979591836734695,90,60
DJ Jacobs,92,101,7,91.0891089108911,13.142857142857142,10,4
DJ Malan,26,26,1,100.0,26.0,1,1
DJ Mitchell,33,46,2,71.73913043478261,16.5,1,0
DJ Muthuswami,1,3,1,33.33333333333333,1.0,0,0
DJ Thornely,39,54,3,72.22222222222221,13.0,2,2
DJ Willey,18,32,3,56.25,6.0,3,0
DJG Sammy,295,251,15,117.52988047808766,19.666666666666668,15,18
DJM Short,115,102,7,112.74509803921569,16.428571428571427,11,5
DL Chahar,79,59,7,133.89830508474577,11.285714285714286,2,6
DL Vettori,121,118,7,102.54237288135593,17.285714285714285,11,2
DM Bravo,6,5,0,120.0,6.0,1,0
DNT Zoysa,11,9,1,122.22222222222223,11.0,1,0
DP Conway,252,176,6,143.1818181818182,42.0,23,12
DP Nannes,4,13,1,30.76923076923077,4.0,0,0
DP Vijaykumar,1,1,0,100.0,1.0,0,0
DPMD Jayawardene,1808,1522,64,118.7910643889619,28.25,200,40
DR Martyn,19,26,2,73.07692307692307,9.5,1,0
DR Sams,44,48,10,91.66666666666666,4.4,1,3
DR Shorey,13,20,2,65.0,6.5,0,1
DR Smith,2385,1803,81,132.27953410981698,29.444444444444443,245,117
DS Kulkarni,104,113,9,92.03539823008849,11.555555555555555,7,2
DS Lehmann,18,19,2,94.73684210526315,9.0,3,0
DT Christian,460,408,28,112.74509803921569,16.428571428571427,23,19
DT Patil,13,13,1,100.0,13.0,1,0
DW Steyn,167,163,22,102.45398773006136,7.590909090909091,14,3
E Lewis,654,499,24,131.06212424849699,27.25,62,36
EJG Morgan,1406,1181,61,119.05165114309906,23.049180327868854,112,64
ER Dwivedi,24,15,2,160.0,12.0,2,2
F Behardien,14,13,2,107.6923076923077,7.0,2,0
F du Plessis,3403,2676,97,127.16741405082213,35.08247422680412,315,109
FA Allen,14,19,2,73.68421052631578,7.0,1,0
FH Edwards,4,5,1,80.0,4.0,0,0
FY Fazal,183,179,9,102.23463687150837,20.333333333333332,22,1
Fazalhaq Farooqi,2,8,0,25.0,2.0,0,0
G Gambhir,4217,3524,135,119.66515323496027,31.237037037037037,492,59
GB Hogg,22,22,2,100.0,11.0,1,0
GC Smith,739,691,30,106.9464544138929,24.633333333333333,94,9
GC Viljoen,3,7,2,42.857142857142854,1.5,0,0
GD McGrath,4,5,1,80.0,4.0,1,0
GD Phillips,26,33,2,78.78787878787878,13.0,1,2
GH Vihari,284,331,20,85.80060422960725,14.2,23,1
GHS Garton,2,4,1,50.0,2.0,0,0
GJ Bailey,663,552,29,120.1086956521739,22.862068965517242,59,19
GJ Maxwell,2320,1571,90,147.67663908338636,25.77777777777778,198,127
GR Napier,15,16,1,93.75,15.0,1,0
Gurkeerat Singh,511,436,27,117.20183486238531,18.925925925925927,55,11
H Das,2,5,1,40.0,2.0,0,0
H Klaasen,66,58,5,113.79310344827587,13.2,5,1
HE van der Dussen,22,25,2,88.0,11.0,2,0
HF Gurney,1,5,0,20.0,1.0,0,0
HH Gibbs,886,837,32,105.8542413381123,27.6875,83,31
HH Pandya,1972,1406,66,140.2560455192034,29.87878787878788,146,111
HM Amla,577,418,13,138.03827751196172,44.38461538461539,60,21
HR Shokeen,43,48,2,89.58333333333334,21.5,5,0
HV Patel,230,189,21,121.6931216931217,10.952380952380953,15,13
Harbhajan Singh,833,636,56,130.9748427672956,14.875,79,42
Harmeet Singh,18,12,2,150.0,9.0,3,0
Harpreet Brar,106,100,3,106.0,35.333333333333336,6,5
Harpreet Singh,20,26,2,76.92307692307693,10.0,0,0
Harshit Rana,2,2,1,100.0,2.0,0,0
I Malhotra,7,4,0,175.0,7.0,1,0
I Sharma,55,62,7,88.70967741935483,7.857142857142857,4,2
I Udana,15,11,3,136.36363636363635,5.0,1,1
IC Pandey,0,2,1,0.0,0.0,0,0
IK Pathan,1150,985,53,116.75126903553299,21.69811320754717,88,38
IR Jaggi,76,100,5,76.0,15.2,6,0
IS Sodhi,7,18,2,38.88888888888889,3.5,0,0
Imran Tahir,33,37,4,89.1891891891892,8.25,5,0
Iqbal Abdulla,88,86,1,102.32558139534885,88.0,9,1
Ishan Kishan,1870,1444,62,129.50138504155123,30.161290322580644,166,85
J Arunkumar,23,24,3,95.83333333333334,7.666666666666667,5,0
J Botha,409,364,22,112.36263736263736,18.59090909090909,39,5
J Suchith,70,62,4,112.90322580645163,17.5,6,3
J Syed Mohammad,29,27,2,107.40740740740742,14.5,4,0
J Theron,10,13,2,76.92307692307693,5.0,1,0
J Yadav,40,38,2,105.26315789473684,20.0,2,1
JA Morkel,975,712,40,136.93820224719101,24.375,61,55
JA Richardson,15,25,2,60.0,7.5,2,0
JC Archer,195,128,13,152.34375,15.0,11,14
JC Buttler,2832,1955,71,144.85933503836316,39.88732394366197,278,135
JD Ryder,604,466,29,129.6137339055794,20.82758620689655,69,19
JD Unadkat,164,136,11,120.58823529411764,14.909090909090908,13,6
JDP Oram,106,110,8,96.36363636363636,13.25,6,5
JDS Neesham,92,93,8,98.9247311827957,11.5,6,2
JE Taylor,3,4,0,75.0,3.0,0,0
JEC Franklin,327,309,11,105.8252427184466,29.727272727272727,25,9
JH Kallis,2427,2291,89,105.93627237014405,27.269662921348313,255,44
JJ Bumrah,56,68,8,82.35294117647058,7.0,4,1
JJ Roy,329,264,11,124.62121212121211,29.90909090909091,39,9
JJ van der Wath,18,17,2,105.88235294117648,9.0,1,1
JL Denly,0,1,1,0.0,0.0,0,0
JL Pattinson,15,13,1,115.38461538461537,15.0,2,0
JM Bairstow,1291,935,38,138.07486631016044,33.973684210526315,133,55
JM Kemp,26,25,2,104.0,13.0,1,1
JM Sharma,234,149,8,157.04697986577182,29.25,22,12
JO Holder,247,205,19,120.48780487804878,13.0,13,17
JP Duminy,2029,1680,49,120.77380952380952,41.40816326530612,126,79
JP Faulkner,527,406,28,129.80295566502463,18.821428571428573,36,23
JPR Scantlebury-Searles,8,6,1,133.33333333333331,8.0,0,1
JR Hazlewood,18,27,0,66.66666666666666,18.0,1,0
JR Hopes,417,314,17,132.80254777070064,24.529411764705884,49,11
JR Philippe,78,80,4,97.5,19.5,9,1
Jaskaran Singh,8,11,2,72.72727272727273,4.0,0,0
Joginder Sharma,36,30,4,120.0,9.0,1,2
K Goel,218,239,14,91.21338912133892,15.571428571428571,17,9
K Gowtham,186,115,14,161.7391304347826,13.285714285714286,13,12
K Kartikeya,3,6,1,50.0,3.0,0,0
K Rabada,186,188,14,98.93617021276596,13.285714285714286,16,6
K Upadhyay,12,9,0,133.33333333333331,12.0,0,1
K Yadav,0,4,0,0.0,0.0,0,0
KA Jamieson,65,55,3,118.18181818181819,21.666666666666668,5,3
KA Pollard,3437,2447,129,140.45770331017573,26.643410852713178,221,224
KAJ Roach,10,9,1,111.11111111111111,10.0,1,0
KB Arun Karthik,51,53,5,96.22641509433963,10.2,4,1
KC Cariappa,24,21,3,114.28571428571428,8.0,0,2
KC Sangakkara,1687,1424,69,118.4691011235955,24.44927536231884,195,27
KD Karthik,4377,3386,168,129.26757235676314,26.053571428571427,426,134
KH Pandya,1326,1003,58,132.20338983050848,22.862068965517242,121,50
KJ Abbott,13,8,1,162.5,13.0,0,1
KK Ahmed,1,7,5,14.285714285714285,0.2,0,0
KK Cooper,116,70,9,165.71428571428572,12.88888888888889,9,8
KK Nair,1496,1192,65,125.503355704698,23.015384615384615,161,39
KL Nagarkoti,22,34,4,64.70588235294117,5.5,1,0
KL Rahul,3895,2933,84,132.79918172519604,46.36904761904762,327,164
KM Jadhav,1196,1002,54,119.36127744510978,22.14814814814815,101,40
KMA Paul,18,26,4,69.23076923076923,4.5,1,1
KMDN Kulasekara,5,3,0,166.66666666666669,5.0,1,0
KP Appanna,2,4,1,50.0,2.0,0,0
KP Pietersen,1001,758,29,132.05804749340368,34.51724137931034,91,40
KR Sen,0,3,0,0.0,0.0,0,0
KS Bharat,199,168,7,118.45238095238095,28.428571428571427,12,8
KS Sharma,4,4,1,100.0,4.0,1,0
KS Williamson,2105,1707,57,123.31575864089046,36.92982456140351,183,64
KV Sharma,317,285,21,111.22807017543859,15.095238095238095,18,14
KW Richardson,36,39,3,92.3076923076923,12.0,2,1
Kamran Akmal,128,78,4,164.1025641025641,32.0,13,8
Kamran Khan,3,5,1,60.0,3.0,0,0
Karanveer Singh,12,17,1,70.58823529411765,12.0,1,0
Kartik Tyagi,13,16,4,81.25,3.25,1,0
Kuldeep Yadav,105,130,5,80.76923076923077,21.0,8,2
L Ablish,0,2,0,0.0,0.0,0,0
L Balaji,36,50,7,72.0,5.142857142857143,2,1
L Ronchi,34,37,3,91.8918918918919,11.333333333333334,6,1
LA Carseldine,81,71,3,114.08450704225352,27.0,11,0
LA Pomersbach,302,251,11,120.3187250996016,27.454545454545453,25,13
LE Plunkett,1,3,1,33.33333333333333,1.0,0,0
LH Ferguson,67,47,3,142.5531914893617,22.333333333333332,6,2
LJ Wright,106,63,4,168.25396825396825,26.5,16,3
LMP Simmons,1079,878,27,122.89293849658314,39.96296296296296,109,44
LPC Silva,40,27,2,148.14814814814815,20.0,5,1
LR Shukla,405,358,29,113.12849162011173,13.96551724137931,33,16
LRPL Taylor,1017,847,41,120.07083825265643,24.804878048780488,66,46
LS Livingstone,549,352,20,155.9659090909091,27.45,38,40
Lalit Yadav,229,227,8,100.88105726872247,28.625,18,7
M Ashwin,35,50,8,70.0,4.375,2,1
M Jansen,9,11,3,81.81818181818183,3.0,0,1
M Kaif,259,258,16,100.3875968992248,16.1875,22,6
M Kartik,113,109,7,103.6697247706422,16.142857142857142,7,1
M Klinger,73,78,4,93.58974358974359,18.25,9,0
M Manhas,514,486,24,105.76131687242798,21.416666666666668,43,10
M Markande,27,30,3,90.0,9.0,3,0
M Morkel,126,93,11,135.48387096774192,11.454545454545455,11,5
M Muralitharan,20,30,6,66.66666666666666,3.3333333333333335,1,0
M Ntini,11,19,1,57.89473684210527,11.0,2,0
M Prasidh Krishna,9,24,2,37.5,4.5,0,0
M Rawat,55,70,5,78.57142857142857,11.0,4,1
M Shahrukh Khan,270,236,13,114.40677966101696,20.76923076923077,13,19
M Theekshana,7,7,1,100.0,7.0,0,1
M Vijay,2619,2208,97,118.61413043478262,27.0,247,91
M Vohra,1073,852,47,125.93896713615023,22.829787234042552,103,43
M de Lange,1,2,1,50.0,1.0,0,0
MA Agarwal,2335,1803,102,129.5063782584581,22.892156862745097,228,91
MA Khote,24,22,2,109.09090909090908,12.0,2,1
MA Starc,96,98,6,97.95918367346938,16.0,10,0
MA Wood,1,5,1,20.0,1.0,0,0
MC Henriques,1000,801,38,124.84394506866417,26.31578947368421,87,28
MC Juneja,125,134,7,93.28358208955224,17.857142857142858,11,1
MD Mishra,237,213,15,111.26760563380283,15.8,24,8
MDKJ Perera,14,13,2,107.6923076923077,7.0,3,0
MEK Hussey,1977,1648,52,119.96359223300972,38.01923076923077,198,52
MF Maharoof,177,124,10,142.74193548387098,17.7,12,9
MG Johnson,167,168,14,99.40476190476191,11.928571428571429,10,7
MJ Clarke,98,96,6,102.08333333333333,16.333333333333332,12,0
MJ Guptill,271,197,12,137.56345177664974,22.583333333333332,24,15
MJ Lumb,278,198,10,140.4040404040404,27.8,45,6
MJ McClenaghan,85,73,11,116.43835616438356,7.7272727272727275,5,7
MJ Santner,54,55,3,98.18181818181819,18.0,3,3
MK Lomror,267,214,13,124.76635514018693,20.53846153846154,15,13
MK Pandey,3657,3106,122,117.73985833869929,29.975409836065573,318,106
MK Tiwary,1695,1489,61,113.83478844862324,27.78688524590164,156,40
ML Hayden,1107,839,28,131.94278903456495,39.535714285714285,121,44
MM Ali,910,652,37,139.57055214723925,24.594594594594593,76,53
MM Patel,39,41,5,95.1219512195122,7.8,5,0
MM Sharma,122,120,14,101.66666666666666,8.714285714285714,9,4
MN Samuels,161,174,12,92.52873563218391,13.416666666666666,9,7
MN van Wyk,167,135,3,123.7037037037037,55.666666666666664,19,1
MP Stoinis,1070,813,41,131.61131611316114,26.097560975609756,83,48
MR Marsh,476,394,20,120.81218274111676,23.8,28,28
MS Bisla,798,737,37,108.27679782903662,21.56756756756757,93,23
MS Dhoni,4978,3802,142,130.93108890057866,35.056338028169016,346,229
MS Gony,99,76,9,130.26315789473685,11.0,6,8
MS Wade,179,178,12,100.56179775280899,14.916666666666666,23,2
MV Boucher,394,318,15,123.89937106918238,26.266666666666666,32,13
Mandeep Singh,1692,1402,82,120.68473609129815,20.634146341463413,176,37
Mashrafe Mortaza,2,2,0,100.0,2.0,0,0
Misbah-ul-Haq,117,82,9,142.6829268292683,13.0,10,6
Mohammad Ashraful,2,12,1,16.666666666666664,2.0,0,0
Mohammad Asif,3,6,2,50.0,1.5,0,0
Mohammad Hafeez,64,84,8,76.19047619047619,8.0,7,2
Mohammad Nabi,186,126,13,147.61904761904762,14.307692307692308,16,10
Mohammed Shami,69,74,11,93.24324324324324,6.2727272727272725,5,2
Mohammed Siraj,96,111,8,86.48648648648648,12.0,10,2
Mohsin Khan,23,19,1,121.05263157894737,23.0,2,1
Mujeeb Ur Rahman,12,15,3,80.0,4.0,2,0
Mukesh Choudhary,6,6,0,100.0,6.0,1,0
Mustafizur Rahman,12,22,1,54.54545454545454,12.0,0,1
N Jagadeesan,73,71,3,102.8169014084507,24.333333333333332,7,1
N Pooran,912,630,37,144.76190476190476,24.64864864864865,52,65
N Rana,2181,1677,79,130.05366726296958,27.60759493670886,190,111
N Saini,140,143,11,97.9020979020979,12.727272727272727,16,0
ND Doshi,0,13,1,0.0,0.0,0,0
NJ Maddinson,20,21,3,95.23809523809523,6.666666666666667,4,0
NJ Rimmington,1,1,0,100.0,1.0,0,0
NK Patel,121,124,5,97.58064516129032,24.2,14,1
NL McCullum,26,23,3,113.04347826086956,8.666666666666666,0,1
NLTC Perera,424,326,24,130.06134969325154,17.666666666666668,23,26
NM Coulter-Nile,82,75,10,109.33333333333333,8.2,7,4
NS Naik,31,53,4,58.490566037735846,7.75,2,0
NT Ellis,18,19,2,94.73684210526315,9.0,0,1
NV Ojha,1554,1360,74,114.26470588235293,21.0,121,79
Navdeep Saini,33,38,4,86.8421052631579,8.25,3,0
OA Shah,506,405,13,124.93827160493827,38.92307692307692,34,23
OC McCoy,8,5,0,160.0,8.0,0,1
OF Smith,51,50,3,102.0,17.0,1,5
P Awana,5,14,3,35.714285714285715,1.6666666666666667,0,0
P Chopra,8,6,1,133.33333333333331,8.0,2,0
P Dogra,127,141,12,90.0709219858156,10.583333333333334,4,5
P Dubey,7,13,0,53.84615384615385,7.0,0,0
P Kumar,340,323,34,105.26315789473684,10.0,22,17
P Negi,365,301,26,121.26245847176081,14.038461538461538,27,16
P Parameswaran,1,3,0,33.33333333333333,1.0,0,0
P Ray Barman,19,25,1,76.0,19.0,2,0
P Sahu,19,13,0,146.15384615384613,19.0,1,1
P Simran Singh,64,67,6,95.52238805970148,10.666666666666666,6,2
PA Patel,2848,2442,127,116.62571662571663,22.4251968503937,365,49
PA Reddy,164,167,10,98.20359281437125,16.4,15,2
PBB Rajapaksa,206,137,9,150.36496350364962,22.88888888888889,16,13
PC Valthaty,505,432,22,116.89814814814814,22.954545454545453,61,20
PD Collingwood,203,159,4,127.67295597484276,50.75,9,13
PJ Cummins,379,260,22,145.76923076923077,17.227272727272727,24,26
PJ Sangwan,26,47,8,55.319148936170215,3.25,1,0
PK Garg,251,224,16,112.05357142857142,15.6875,15,9
PM Sarvesh Kumar,1,2,0,50.0,1.0,0,0
PN Mankad,4,1,0,400.0,4.0,1,0
PP Chawla,584,543,51,107.55064456721914,11.450980392156863,54,18
PP Ojha,16,45,10,35.55555555555556,1.6,0,0
PP Shaw,1588,1106,61,143.58047016274864,26.0327868852459,192,55
PR Shah,92,97,8,94.84536082474226,11.5,9,2
PSP Handscomb,6,12,1,50.0,6.0,0,0
PV Tambe,18,39,1,46.15384615384615,18.0,1,0
PVD Chameera,43,32,3,134.375,14.333333333333334,3,3
PWH de Silva,39,50,8,78.0,4.875,4,1
Pankaj Singh,7,12,2,58.333333333333336,3.5,0,0
Parvez Rasool,17,20,2,85.0,8.5,1,0
Q de Kock,2767,2113,86,130.9512541410317,32.174418604651166,277,106
R Ashwin,647,567,48,114.10934744268077,13.479166666666666,51,21
R Bhatia,342,290,29,117.9310344827586,11.793103448275861,24,13
R Bishnoi,19,17,3,111.76470588235294,6.333333333333333,1,2
R Dhawan,190,176,9,107.95454545454545,21.11111111111111,17,6
R Dravid,2174,1918,77,113.34723670490095,28.233766233766232,269,28
R McLaren,159,178,8,89.32584269662921,19.875,14,1
R Ninan,3,6,1,50.0,3.0,0,0
R Parag,522,434,29,120.27649769585254,18.0,40,22
R Powell,250,174,11,143.67816091954023,22.727272727272727,10,22
R Rampaul,51,52,5,98.07692307692307,10.2,3,2
R Sanjay Yadav,0,2,1,0.0,0.0,0,0
R Sathish,270,236,16,114.40677966101696,16.875,22,6
R Sharma,66,77,11,85.71428571428571,6.0,5,3
R Shepherd,58,43,3,134.88372093023256,19.333333333333332,2,5
R Shukla,19,23,2,82.6086956521739,9.5,2,0
R Tewatia,738,588,31,125.51020408163265,23.806451612903224,57,35
R Vinay Kumar,310,289,26,107.26643598615917,11.923076923076923,21,9
RA Bawa,11,14,2,78.57142857142857,5.5,1,0
RA Jadeja,2502,2049,100,122.10834553440704,25.02,182,90
RA Tripathi,1798,1312,64,137.04268292682926,28.09375,176,68
RD Chahar,108,102,13,105.88235294117648,8.307692307692308,10,4
RD Gaikwad,1207,945,32,127.72486772486774,37.71875,113,43
RE Levi,83,74,6,112.16216216216218,13.833333333333334,10,4
RE van der Merwe,159,144,12,110.41666666666667,13.25,11,8
RG More,2,2,0,100.0,2.0,0,0
RG Sharma,5881,4632,203,126.96459412780656,28.970443349753694,519,241
RJ Harris,117,112,12,104.46428571428572,9.75,6,3
RJ Peterson,32,32,3,100.0,10.666666666666666,3,1
RJ Quiney,103,105,7,98.09523809523809,14.714285714285714,12,3
RK Bhui,7,18,2,38.88888888888889,3.5,0,0
RK Singh,251,204,12,123.03921568627452,20.916666666666668,23,9
RM Patidar,404,297,10,136.02693602693603,40.4,30,21
RN ten Doeschate,326,238,17,136.9747899159664,19.176470588235293,26,15
RP Meredith,0,1,1,0.0,0.0,0,0
RP Singh,52,78,15,66.66666666666666,3.466666666666667,2,1
RR Bhatkal,0,2,2,0.0,0.0,0,0
RR Pant,2851,2000,85,142.55,33.54117647058823,262,129
RR Powar,67,64,3,104.6875,22.333333333333332,6,1
RR Raje,20,18,1,111.11111111111111,20.0,1,1
RR Rossouw,53,51,6,103.921568627451,8.833333333333334,3,3
RR Sarwan,73,78,3,93.58974358974359,24.333333333333332,6,1
RS Bopara,531,468,19,113.46153846153845,27.94736842105263,39,16
RS Gavaskar,2,8,1,25.0,2.0,0,0
RS Sodhi,4,2,0,200.0,4.0,1,0
RT Ponting,91,129,8,70.54263565891473,11.375,5,2
RV Gomez,50,53,7,94.33962264150944,7.142857142857143,5,1
RV Patel,31,32,2,96.875,15.5,3,1
RV Uthappa,4954,3927,184,126.15227909345556,26.92391304347826,481,182
Ramandeep Singh,45,42,2,107.14285714285714,22.5,3,1
Rashid Khan,313,214,28,146.26168224299064,11.178571428571429,20,22
